sample_id,group,mean_expression,median_expression,sd_expression
GSM1045249_T115_15_12_04.CEL,Tumor,5.6122799129771765,5.35570515643613,1.7737978011623285
GSM1045250_T119_8_12_04.CEL,Tumor,5.550671673711951,5.26974876181473,1.6999839689544236
GSM1045251_T12_22_12_04.CEL,Tumor,5.61399891418631,5.39894826655116,1.7708040475905942
GSM1045252_T120_10_12_04.CEL,Tumor,5.75614748195462,5.47256997507765,1.8779565411975
GSM1045253_T122_9_12_04.CEL,Tumor,5.686517164050272,5.40135516299153,1.8645429563641696
GSM1045254_T123_14_12_04.CEL,Tumor,5.6070905017353905,5.34971707425501,1.8015957000629153
GSM1045255_T124_25_1_05.CEL,Tumor,5.432255121484149,5.19635179539575,1.5576635176701241
GSM1045257_T127_8_12_04.CEL,Tumor,5.572944337480749,5.31163985751796,1.764894779285064
GSM1045258_T128_22_12_04.CEL,Tumor,5.706719777997976,5.46974839456797,1.8026816469126214
GSM1045259_T129_20_12_04.CEL,Tumor,5.531389920920225,5.32615717805072,1.6076258070340415
GSM1045260_T13_9_12_04.CEL,Tumor,5.635469515051382,5.37048408681584,1.8320500905362989
GSM1045261_T130_8_12_04.CEL,Tumor,5.677630155848134,5.39761667056599,1.9158870524198863
GSM1045262_T131_22_12_04.CEL,Tumor,5.688759645297475,5.4227938633632,1.8670382900430478
GSM1045263_T132.CEL,Tumor,5.61233662884008,5.38758657279487,1.746507112522922
GSM1045264_T134_7_12_04.CEL,Tumor,5.689975252177933,5.42055892906914,1.8005992916328957
GSM1045265_T14_21_12_04.CEL,Tumor,5.670107699878798,5.41201935136181,1.8173019618809714
GSM1045266_T18_22_12_04.CEL,Tumor,5.590861759375126,5.3368243177874,1.792908885579254
GSM1045267_T2_7_12_04.CEL,Tumor,5.550232655811515,5.31944898786163,1.7196055826756933
GSM1045268_T20_20_12_04.CEL,Tumor,5.722760499784868,5.42892812824822,1.8603953835298246
GSM1045271_T23_9_12_04.CEL,Tumor,5.715696926505708,5.47171434836855,1.8714672189899901
GSM1045272_T24_10_12_04.CEL,Tumor,5.734965124894828,5.48782260275382,1.8919101403687082
GSM1045273_T29_14_12_04.CEL,Tumor,5.6909542496912175,5.39070274565044,1.8824292077360139
GSM1045274_T30_8_12_04.CEL,Tumor,5.459586647154647,5.26012142412715,1.6574181238709247
GSM1045275_T32_3_12_04.CEL,Tumor,5.673309359408979,5.42135817483179,1.8523361976972705
GSM1045276_T33_3_12_04.CEL,Tumor,5.552600808972823,5.28336965436455,1.678918911321017
GSM1045278_T35_3_12_04.CEL,Tumor,5.585779269969182,5.3635737644659,1.651718242833025
GSM1045279_T36_15_12_04.CEL,Tumor,5.585173640247529,5.33668331756968,1.7526548369626358
GSM1045280_T38_25_1_05.CEL,Tumor,5.5930308958112,5.34999673968851,1.6923006945320787
GSM1045281_T39_14_12_04.CEL,Tumor,5.62077999977539,5.37257366244433,1.8027313716812001
GSM1045282_T40_9_12_04.CEL,Tumor,5.495668047213281,5.28548475418962,1.622984564252508
GSM1045283_T41_20_12_04.CEL,Tumor,5.638049467803707,5.42974092786813,1.7270741612152545
GSM1045284_T43_9_12_04.CEL,Tumor,5.555123035901207,5.27853146565004,1.79634144431333
GSM1045285_T45_7_12_04.CEL,Tumor,5.528569451190126,5.29038375409167,1.5858003845597692
GSM1045286_T47_20_12_04.CEL,Tumor,5.60311054022583,5.3821192456852,1.7313769707418865
GSM1045287_T49_10_12_04.CEL,Tumor,5.631048016008577,5.36528357808068,1.8087365500939048
GSM1045288_T5_10_12_04.CEL,Tumor,5.271979928556553,5.12109244202895,1.3037833026843895
