probe_id,mean_tumor,mean_normal,mean_difference_tumor_minus_normal,t_statistic,p_value,fdr_bh,entrez_id,gene_symbol,minus_log10_fdr,abs_diff
gene_5255,5.457200025855355,4.766016057122007,0.6911839687333474,6.7653189198796335,6.545082800596255e-08,8.643230581322513e-07,5255,PHKA1,6.063323900877024,0.6911839687333474
gene_6385,8.912847506495824,6.914301397553982,1.9985461089418424,8.051053854455638,6.56117783077217e-08,8.650020255360239e-07,6385,SDC4,6.062982875566298,1.9985461089418424
gene_80303,9.513769477047546,7.400869283710092,2.1129001933374543,7.279783795326917,6.585608093837712e-08,8.667757852839401e-07,80303,EFHD1,6.062093229867747,2.1129001933374543
gene_79148,4.54428300916455,6.081283531318844,-1.537000522154294,-9.104674146315586,6.653898638561237e-08,8.728544443308652e-07,79148,MMP28,6.059058172439163,1.537000522154294
gene_8317,5.236949059790292,3.7551852162500485,1.4817638435402434,7.193755978605552,6.652909195494764e-08,8.728544443308652e-07,8317,CDC7,6.059058172439163,1.4817638435402434
gene_6652,6.485079315235037,5.040133820924931,1.4449454943101063,7.545831074414398,6.871572668814899e-08,8.999139198280474e-07,6652,SORD,6.045799030484665,1.4449454943101063
gene_3835,5.515649525873316,4.885939647553373,0.6297098783199431,7.255006506699024,7.051093781780586e-08,9.218954899788292e-07,3835,KIF22,6.03531830963845,0.6297098783199431
gene_2819,4.11333018576359,6.567769773983369,-2.4544395882197794,-9.07557900736352,7.11913785813883e-08,9.292534159623528e-07,2819,GPD1,6.031865833750263,2.4544395882197794
gene_10916,8.521936616234369,7.029148076088103,1.4927885401462655,7.298926298953832,7.171210797252466e-08,9.345058030677016e-07,10916,MAGED2,6.029417997407187,1.4927885401462655
gene_6285,4.100386343878172,8.45913978054372,-4.358753436665549,-8.531405623654388,7.222161224535497e-08,9.395948466253182e-07,6285,S100B,6.027059373853058,4.358753436665549
gene_7275,4.234794798254388,4.499442022219117,-0.2646472239647295,-6.319673345219096,7.313711208265113e-08,9.499404179550921e-07,7275,TUB,6.022303633621476,0.2646472239647295
gene_113612,3.9205330963181093,4.518392511273001,-0.5978594149548919,-8.561127253611444,7.409472427456701e-08,9.607980912910601e-07,113612,CYP2U1,6.017367868368039,0.5978594149548919
gene_1373,3.488828538480415,4.139306820159929,-0.6504782816795136,-7.431409433785939,7.449424208473389e-08,9.628167426238028e-07,1373,CPS1,6.0164563662928225,0.6504782816795136
gene_5998,5.088355635097585,5.597236152091982,-0.5088805169943971,-8.090628818643268,7.448515466779688e-08,9.628167426238028e-07,5998,RGS3,6.0164563662928225,0.5088805169943971
gene_8614,7.27632828274734,5.6712772248744985,1.6050510578728412,6.258255261861742,7.495473856706512e-08,9.671855726537798e-07,8614,STC2,6.014490190397475,1.6050510578728412
gene_990,3.4611136979857573,2.941005047435196,0.5201086505505614,5.971265757538162,7.630241759072804e-08,9.829693176410755e-07,990,CDC6,6.0074600380042185,0.5201086505505614
gene_694,7.097002400485133,7.6715381548936685,-0.5745357544085357,-6.116747646269282,7.746767057543718e-08,9.96355365690924e-07,694,BTG1,6.001585736041509,0.5745357544085357
gene_1871,7.817153294121843,6.893002604223769,0.9241506898980738,7.5908893799089965,7.785650478246059e-08,9.991613305144237e-07,1871,E2F3,6.000364382349272,0.9241506898980738
gene_23604,5.713950414904597,6.630389826985417,-0.9164394120808197,-8.033428417705512,7.806540976667081e-08,9.991613305144237e-07,23604,DAPK2,6.000364382349272,0.9164394120808197
gene_375,8.07920138235172,7.203267025154828,0.8759343571968916,7.312927342626442,7.805765876773483e-08,9.991613305144237e-07,375,ARF1,6.000364382349272,0.8759343571968916
gene_6640,6.097232660725548,7.058799663675437,-0.9615670029498888,-8.284064074755648,7.855834807132223e-08,1.0038434866006984e-06,6640,SNTA1,5.998333994565854,0.9615670029498888
gene_25799,6.215650976657155,5.451990480928115,0.7636604957290407,7.4953825413404545,7.896248718851104e-08,1.0073776435018928e-06,25799,ZNF324,5.996807691567945,0.7636604957290407
gene_51226,5.533015832100488,6.921133510782236,-1.3881176786817484,-8.587702460906394,7.942436835301103e-08,1.011635865941497e-06,51226,COPZ2,5.9949757818341975,1.3881176786817484
gene_55661,8.80821102850266,8.150695237800354,0.6575157907023055,7.3604254074760815,8.088174212940653e-08,1.0285396418613903e-06,55661,DDX27,5.987778965116679,0.6575157907023055
gene_2037,5.705086325763417,7.78146928118382,-2.076382955420403,-8.28456122012799,8.146372809711074e-08,1.0342750173358256e-06,2037,EPB41L2,5.985363965467985,2.076382955420403
gene_57209,5.559429868417608,5.127037392436011,0.43239247598159647,6.4115934755819595,8.348796730442654e-08,1.0582736401333168e-06,57209,ZNF248,5.975402021304433,0.43239247598159647
gene_23198,6.670843576082379,6.001243829195004,0.6695997468873749,6.568156660308643,8.481958653838063e-08,1.0734299277140896e-06,23198,PSME4,5.969226300552713,0.6695997468873749
gene_6662,6.8498378515993705,4.5438147868376,2.3060230647617708,7.620988335338727,8.50198804387862e-08,1.0742431933201515e-06,6662,SOX9,5.9688973894363455,2.3060230647617708
gene_2774,3.5402037484680955,4.8249193600845155,-1.28471561161642,-8.572649653302234,8.67511842983085e-08,1.0943675757248278e-06,2774,GNAL,5.960836782850196,1.28471561161642
gene_57130,7.1223236246641815,5.956699979908434,1.1656236447557475,7.49187810544357,8.750618200593243e-08,1.1021312907509544e-06,57130,ATP13A1,5.957766667324196,1.1656236447557475
gene_10848,6.745511942111492,5.418463918841146,1.327048023270346,7.850517849504386,8.776024607533223e-08,1.1035711198358257e-06,10848,PPP1R13L,5.957199673415807,1.327048023270346
gene_10351,3.644853815522326,5.172726297170419,-1.5278724816480929,-8.290770063478336,8.925506150596754e-08,1.1205838167132365e-06,10351,ABCA8,5.950555653832479,1.5278724816480929
gene_23550,5.349290597048456,4.440602051506754,0.9086885455417022,7.9444744144104895,9.074946832114249e-08,1.1375373830667654e-06,23550,PSD4,5.9440343221496725,0.9086885455417022
gene_51222,4.634872591300693,5.099762693307717,-0.46489010200702374,-7.815566944357938,9.282130138037579e-08,1.1616637353420407e-06,51222,ZNF219,5.934919568176351,0.46489010200702374
gene_56521,5.328321077264179,4.06592363949342,1.2623974377707592,6.278672373857125,9.486051651677735e-08,1.1853061691977703e-06,56521,DNAJC12,5.926169455207786,1.2623974377707592
gene_3875,10.626222755138983,6.840813689617743,3.7854090655212396,8.340933372036453,9.501079574542219e-08,1.185308458138387e-06,3875,KRT18,5.926168616544034,3.7854090655212396
gene_10866,5.986122816158703,4.9058143229013975,1.0803084932573057,6.067041553113025,9.615526617971333e-08,1.1976942224309087e-06,10866,HCP5,5.921654045437068,1.0803084932573057
gene_1839,4.758217368912319,5.313230480890911,-0.5550131119785924,-7.612246678207953,9.66087651370075e-08,1.2014479028140916e-06,1839,HBEGF,5.9202950563298264,0.5550131119785924
gene_26298,5.6272541239575276,4.065619265404009,1.5616348585535187,7.167951341244254,9.698449823616982e-08,1.204224186432442e-06,26298,EHF,5.919292654384591,1.5616348585535187
gene_7504,3.174794846774054,2.688466385563319,0.4863284612107348,5.739942657727813,9.768672785171877e-08,1.2110393875118103e-06,7504,XK,5.916841731753017,0.4863284612107348
gene_22821,4.222784084376931,4.79540178305441,-0.5726176986774787,-8.056376661250043,9.845296879611687e-08,1.218625540098644e-06,22821,RASA3,5.914129724120893,0.5726176986774787
gene_1036,4.090701781411903,9.081579446628226,-4.990877665216322,-8.61790775973768,9.932343719195096e-08,1.2274760305240012e-06,1036,CDO1,5.910986979785685,4.990877665216322
gene_10970,7.32684017983055,6.421982183250714,0.9048579965798362,7.87728301281101,9.96469554549091e-08,1.2295500112928393e-06,10970,CKAP4,5.910253801868908,0.9048579965798362
gene_4926,5.227912305283625,4.776395359987076,0.4515169452965493,7.062861055204798,1.0010652028072417e-07,1.2332935891682977e-06,4926,NUMA1,5.908933526017274,0.4515169452965493
gene_9814,6.616668720399298,5.865717927075146,0.7509507933241526,6.774596211509474,1.0145168233836203e-07,1.2479189025327802e-06,9814,SFI1,5.90381363687066,0.7509507933241526
gene_3952,4.927337243082053,11.033065275363862,-6.105728032281809,-8.599254189627047,1.0199359577663946e-07,1.2526336327342487e-06,3952,LEP,5.902175931837326,6.105728032281809
gene_23403,6.635241851248786,5.81145912546747,0.8237827257813155,7.318080827799344,1.0265462171719098e-07,1.2587943287277285e-06,23403,FBXO46,5.900045222390372,0.8237827257813155
gene_22927,5.0116926107597966,5.7667029925502185,-0.7550103817904219,-8.41691861312043,1.0324564833758995e-07,1.264078891351857e-06,22927,HABP4,5.898225820824513,0.7550103817904219
gene_55224,5.3318276186353195,4.43475024423498,0.8970773744003395,6.699099077348046,1.0380049031420387e-07,1.2689047554353993e-06,55224,ETNK2,5.896570975022085,0.8970773744003395
gene_112399,5.710274914906631,4.528115580219329,1.1821593346873023,6.420458296483178,1.0537467276998386e-07,1.2861573274568199e-06,112399,EGLN3,5.890705903676798,1.1821593346873023
gene_2958,5.6923161675512235,6.102117137063163,-0.4098009695119398,-6.103892520378082,1.0597280350382374e-07,1.2914617735643458e-06,2958,GTF2A2,5.888918444137015,0.4098009695119398
gene_5139,3.6424018288428193,4.203479195540416,-0.5610773666975963,-7.982938441849052,1.0653890323734012e-07,1.2963601215181432e-06,5139,PDE3A,5.88727433715155,0.5610773666975963
gene_9194,4.258750326041174,7.900160368646266,-3.6414100426050924,-8.720681028569789,1.0692052985064364e-07,1.2990021911238968e-06,9194,SLC16A7,5.886390116369455,3.6414100426050924
gene_477,3.498682858193595,6.192799788155608,-2.6941169299620134,-8.828109326116591,1.0921059584826685e-07,1.3232808984558677e-06,477,ATP1A2,5.878347956492398,2.6941169299620134
