probe_id,mean_tumor,mean_normal,mean_difference_tumor_minus_normal,t_statistic,p_value,fdr_bh,entrez_id,gene_symbol,minus_log10_fdr
gene_103,11.018706303789484,9.793790552723632,1.2249157510658524,12.552414800320259,1.0399978975071682e-14,1.4665827493953764e-12,103,ADAR,11.833693427677009
gene_9319,6.420171210980384,4.871680738484093,1.5484904724962911,9.923372498608412,1.3942558191614347e-14,1.896506937169701e-12,9319,TRIP13,11.722045564366931
gene_3624,6.372273272208102,4.207617313312327,2.164655958895775,13.664954990319506,1.810828599517269e-14,2.383352241731312e-12,3624,INHBA,11.622811767416346
gene_3993,5.136683969820415,3.772119679606033,1.364564290214382,12.964619702942286,2.0911102012508364e-14,2.6757656521324348e-12,3993,LLGL2,11.572551925449226
gene_57402,7.32563131275707,4.818474343947939,2.507156968809131,11.988230731507855,2.1019284037622832e-14,2.6757656521324348e-12,57402,S100A14,11.572551925449226
gene_1479,6.8512883398534505,5.7079536781518625,1.143334661701588,10.894667243429558,2.9876264864290755e-14,3.6864509942703765e-12,1479,CSTF3,11.433391535003638
gene_7514,8.209136149291371,6.923286621924027,1.2858495273673443,12.328224739148023,5.5231206353569666e-14,6.608497523850601e-12,7514,XPO1,11.179897268392095
gene_219699,6.407496115997837,5.17341395528755,1.2340821607102868,11.348093588889032,6.614231348570844e-14,7.569939849226659e-12,219699,UNC5B,11.120907571391966
gene_5652,7.2812427675206095,4.072671895349493,3.2085708721711166,13.756107572858419,6.997650351193753e-14,7.89434926048244e-12,5652,PRSS8,11.102683663531474
gene_11226,7.072937029568015,4.390698276285237,2.6822387532827783,11.98385826804514,7.37094862625388e-14,8.090196451359733e-12,11226,GALNT6,11.09204093244142
gene_6664,5.155093495098188,3.564977183685477,1.5901163114127113,8.436587652560483,1.2342124206546047e-13,1.2657890241440796e-11,6664,SOX11,10.897638674480975
gene_6382,8.015500426624016,4.754459008958333,3.261041417665682,13.909973863448057,1.2593317857283416e-13,1.274992706653425e-11,6382,SDC1,10.89449229951962
gene_776,4.821297571997757,3.7703545426996157,1.0509430292981414,8.859757833740826,1.5449840677467824e-13,1.5250923978745425e-11,776,CACNA1D,10.816703843745751
gene_1311,6.746353059502337,4.144585997664661,2.601767061837676,10.620339171523437,1.628492104343474e-13,1.5876792775309154e-11,1311,COMP,10.799237223613066
gene_54880,5.390837755786849,4.248303490434873,1.1425342653519763,10.647600102053229,2.0397393499805447e-13,1.9643684935117514e-11,54880,BCOR,10.706777040129785
gene_84914,6.216977838624939,4.752889371377281,1.4640884672476586,10.866960917003157,2.5872936858089305e-13,2.4037480278627205e-11,84914,ZNF587,10.619111059067011
gene_8187,6.463864875971054,5.308897999347409,1.1549668766236447,9.24516480906202,2.657619140801263e-13,2.4180522268020265e-11,8187,ZNF239,10.616534323174594
gene_2026,6.380643857718957,4.861528105656962,1.5191157520619951,9.191173807840613,2.7034321062635193e-13,2.4260231071776148e-11,2026,ENO2,10.61510506691877
gene_4931,6.728252621140087,5.507322702895004,1.2209299182450835,9.657739435070072,2.833773913673191e-13,2.507484161910589e-11,4931,NVL,10.600761801444756
gene_1047,4.653221345536196,2.7969086314567977,1.8563127140793987,8.637372381737698,2.857712733594441e-13,2.507484161910589e-11,1047,CLGN,10.600761801444756
gene_3169,6.224236194478026,3.2707950373742776,2.9534411571037484,10.695191137078792,3.3328279280706925e-13,2.8607980595624195e-11,3169,FOXA1,10.543512797459687
gene_80324,6.920416368993241,5.796680433782832,1.1237359352104086,11.202946994738175,3.975215400255877e-13,3.375513550088243e-11,80324,PUS1,10.471660144313661
gene_8507,6.50103859081099,4.960094562757557,1.540944028053433,10.936366888942677,4.186407056666096e-13,3.517027290052357e-11,8507,ENC1,10.453824261801577
gene_6229,8.821575344114722,7.756594779396136,1.064980564718586,9.926173638958655,4.3216558441128123e-13,3.592433284311461e-11,6229,RPS24,10.444611288475416
gene_5207,3.6454786198239915,4.65465057579282,-1.0091719559688284,-14.496448785044223,5.957332094566285e-13,4.800515464366322e-11,5207,PFKFB1,10.318712126934702
gene_2625,9.709407603847222,6.235462122666057,3.4739454811811648,11.598352662111257,6.052089972963379e-13,4.8276115673224044e-11,2625,GATA3,10.316267680777445
gene_6674,4.453496801940918,3.39532807150763,1.0581687304332874,8.370543910080896,6.972784406472772e-13,5.506407845791548e-11,6674,SPAG1,10.259131624650468
gene_3945,10.0106946284007,12.159934770660188,-2.1492401422594885,-10.004675447308017,7.301722997878989e-13,5.709079852896077e-11,3945,LDHB,10.243433882474207
gene_9582,6.265473511288022,4.115800987405428,2.149672523882594,9.881612321151858,7.500469878840601e-13,5.806981434627865e-11,9582,APOBEC3B,10.236049562437756
gene_7203,9.508126128918553,8.171529942537791,1.3365961863807616,11.255601128371078,8.436336106732045e-13,6.46813070241388e-11,7203,CCT3,10.189221212828159
gene_3485,5.557367155407701,4.1791756217042035,1.3781915337034976,8.232954940113306,9.503102960613203e-13,7.133997831501589e-11,3485,IGFBP2,10.146667027008744
gene_4312,6.216793554523244,3.7317273449116244,2.48506620961162,8.455014642710772,9.575836015438374e-13,7.133997831501589e-11,4312,MMP1,10.146667027008744
gene_7464,5.151087558358618,4.034757721415759,1.1163298369428594,10.197483807131892,1.0017015171833659e-12,7.392931664670131e-11,7464,CORO2A,10.131183308112485
gene_1063,4.911056136470595,3.6709312299980916,1.2401249064725035,11.211450063689398,1.0869615026640237e-12,7.874986226181464e-11,1063,CENPF,10.103750197144535
gene_22874,5.73305879008489,4.70243798488831,1.0306208051965795,9.476499148208694,1.1823172224174286e-12,8.487962823118576e-11,22874,PLEKHA6,10.071196531292133
gene_51806,5.903236664389105,4.028532509952141,1.874704154436964,7.969449168471675,1.410594358272229e-12,9.970357606792985e-11,51806,CALML5,10.001289264569822
gene_28969,9.998764347142792,8.959303630240269,1.0394607169025232,10.360537567517927,1.702672787725092e-12,1.1492313679200899e-10,28969,BZW2,9.93959252858273
